code,nom,nom_patient,departement,echantillon,tube,couleur_tube,volume,jeune,conditions,conservation,delai,methode,valeurs_ref,interet,remarques,photo
HDL,Cholestérol HDL (Sang),Cholestérol HDL (Sang),Hormonologie,Sang,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496965/cholesterol-hdl-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
LDL,Cholestérol LDL (Sang),Cholestérol LDL (Sang),Hormonologie,Sang,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496960/cholesterol-ldl-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CHTX,Cholestérol total (Liquides de ponction),Cholestérol total (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Méthode enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716505/cholesterol-total-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CHT,Cholestérol total (Sang),Cholestérol total (Sang),Hormonologie,Sang,,,,Non,,,,Méthode enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496853/cholesterol-total-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CHE,Cholinestérases (Sang),Cholinestérases (Sang),Hormonologie,Sang,,,,Non,,,,Colorimétrique cinétique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498493/cholinesterases-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C3X,Complément C3 (Liquides de ponction),Complément C3 (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Immuno-turbidimétrique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23659689/complement-c3-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C3,Complément C3 (Sang),Complément C3 (Sang),Hormonologie,Sang,,,,Non,,,,Immuno-turbidimétrique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23939841/complement-c3-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C4X,Complément C4 (Liquide de ponction),Complément C4 (Liquide de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Immuno-turbidimétrique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23532686/complement-c4-liquide-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C4,Complément C4 (Sang),Complément C4 (Sang),Hormonologie,Sang,,,,Non,,,,Immuno-turbidimétrique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23939834/complement-c4-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
COR,Cortisol,Cortisol,Hormonologie,Sang > Plasma hépariné / Sang > Sérum,,,,Non,,,,CMIA avec kit de réactifs Abbott sur ALINITY I,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351695/cortisol | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
TRF_COEF,Coéfficient de saturation de la transferrine (Sang),Coéfficient de saturation de la transferrine (Sang),Hormonologie,Sang,,,,Non,,,,Calcul,,,source_url: https://www.chu.ulg.ac.be/jcms/c_1851266/coefficient-de-saturation-de-la-transferrine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CKL,Créatine kinase (LCR),Créatine kinase (LCR),Hormonologie,Liquides biologiques > LCR,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496847/creatine-kinase-lcr | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CKX,Créatine kinase (LPO),Créatine kinase (LPO),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496850/creatine-kinase-lpo | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CK,Créatine kinase (Sang),Créatine kinase (Sang),Hormonologie,Sang,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_481327/creatine-kinase-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CRX,Créatinine (Liquides de ponction),Créatinine (Liquides de ponction),Hormonologie,Liquides biologiques > Liquide de ponction divers,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716396/creatinine-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CR,Créatinine (Sang),Créatinine (Sang),Hormonologie,Sang,,,,Non,,,,Enzymatique avec kit de réactifs Abbott sur ALINITY C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498839/creatinine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
CRU,Créatinine (Urines),Créatinine (Urines),Hormonologie,Urines,,,,Non,,,,Méthode enzymatique sur Alinity C,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498853/creatinine-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées,
C25_R,CA125 sur Cobas e402 (Pure),CA125 sur Cobas e402 (Pure),Hormonologie,Sang,,,,Non,,,,CLIA de type sandwich avec réactifs ROCHE sur Cobas e402 (Pure),,,source_url: https://www.chu.ulg.ac.be/jcms/c2_25087214/ca125-sur-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage,
CTXS_I,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,Hormonologie,Sang > Plasma EDTA,,,,Non,,,,Dosage immunologique de type sandwich et est basé sur une technique de chimiluminescence (CLIA) sur Isys.,,,source_url: https://www.chu.ulg.ac.be/jcms/c_393709/ctxs-c-telopeptides-collagene-type-i-ids-isys | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage,
C19,Ca19.9 sur Cobas e402 (Pure),Ca19.9 sur Cobas e402 (Pure),Hormonologie,Sang,,,,Non,,,,CLIA de type sandwich avec réactifs ROCHE sur Cobas e402 (Pure),,,source_url: https://www.chu.ulg.ac.be/jcms/c2_25087226/ca19-9-sur-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage,
CAMC,Complexe d'attaque membranaire (SC5b9),Complexe d'attaque membranaire (SC5b9),Chimie,Sang,,,,Non,,,,ELISA : manuel ou sur automate Etimax,,,source_url: https://www.chu.ulg.ac.be/jcms/c_1917300/complexe-d-attaque-membranaire-sc5b9 | discipline: Biologie Clinique > Chimie Clinique > Immunité non infectieuse - Auto-immunité,
TCQ,Complexes Immuns Circulants à IgG (C1q) - (Test au C1q),Complexes Immuns Circulants à IgG (C1q) - (Test au C1q),Chimie,Sang,,,,Non,,,,ELISA : manuel ou sur automate Etimax,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351896/complexes-immuns-circulants-a-igg-c1q-test-au-c1q | discipline: Biologie Clinique > Chimie Clinique > Immunité non infectieuse - Auto-immunité,
CRIX,Cristaux Liquide ponction,Cristaux Liquide ponction,Chimie,Liquides biologiques,,,,Non,,,,Microscope à polarisation,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_20346626/cristaux-liquide-ponction | discipline: Biologie Clinique > Chimie Clinique > Lithiases-Cristallurie,
ANO,"Catécholamines plasmatiques (Noradrénaline, Adrénaline, Dopamine)","Catécholamines plasmatiques (Noradrénaline, Adrénaline, Dopamine)",Chimie,Sang,,,,Non,,,,LC-MS/MS,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351943/catecholamines-plasmatiques-noradrenaline-adrenaline-dopamine | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse,
UAN,Catécholamines urinaires,Catécholamines urinaires,Chimie,Urines > 24H acides,,,,Non,,,,LC MS/MS,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351641/catecholamines-urinaires | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse,
CORHMS,Cortisol,Cortisol,Chimie,Sang,,,,Non,,,,LC-MS/MS,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_28297464/cortisol | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse,
CORS,Cortisol (Salive),Cortisol (Salive),Chimie,Autres Types d'échantillons > Salive,,,,Non,,,,LC-MS/MS,,,source_url: https://www.chu.ulg.ac.be/jcms/c_4621082/cortisol-salive | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse,
